Language,Angolar,"MAURER, Philippe. 2013."
Area,Gulf of Guinea,"MAURER, Philippe. 2013."
Lexifier,Portuguese,"MAURER, Philippe. 2013."
FirstMajorSettlement,1550,"HAGEMEIJER, Tjerk. 2009. "
EndOfInfluence,1550,"HAGEMEIJER, Tjerk. 2009. "
ContactConditions,Marron,"MAURER, Philippe. 2013."
LanguageContact,"Kimbundo, Santome","MAURER, Philippe. 2013."
NumberOfLanguages,3,"MAURER, Philippe. 2013."
Bilingualism,Yes,"MAURER, Philippe. 2013."
Notes,"approximate date, influence before escape. ",
